Date,Fund,TD Canadian Bond Index Fund
2002-03-04,0.001,-0.001
2002-03-05,-0.001,-0.001
2002-03-06,0.004,-0.002
2002-03-07,0.000,-0.007
2002-03-08,-0.002,-0.012
2002-03-11,-0.001,-0.010
2002-03-12,0.000,-0.010
2002-03-13,-0.001,-0.009
2002-03-14,-0.002,-0.014
2002-03-15,0.001,-0.012
2002-03-18,0.001,-0.011
2002-03-19,0.002,-0.010
2002-03-20,-0.002,-0.013
2002-03-21,-0.002,-0.017
2002-03-22,-0.003,-0.017
2002-03-25,0.000,-0.017
2002-03-26,0.000,-0.015
2002-03-27,0.006,-0.015
2002-03-28,0.006,-0.015
2002-04-01,0.004,-0.019
2002-04-02,0.004,-0.016
2002-04-03,0.003,-0.014
2002-04-04,0.002,-0.013
2002-04-05,0.002,-0.011
2002-04-08,0.001,-0.013
2002-04-09,0.002,-0.012
2002-04-10,0.005,-0.013
2002-04-11,0.001,-0.010
2002-04-12,0.005,-0.008
2002-04-15,0.005,-0.005
2002-04-16,0.006,-0.008
2002-04-17,0.006,-0.010
2002-04-18,0.007,-0.009
2002-04-19,0.008,-0.009
2002-04-22,0.005,-0.008
2002-04-23,0.005,-0.008
2002-04-24,0.005,-0.006
2002-04-25,0.005,-0.005
2002-04-26,0.006,-0.005
2002-04-29,0.006,-0.005
2002-04-30,0.005,-0.005
2002-05-01,0.003,-0.008
2002-05-02,0.002,-0.009
2002-05-03,0.007,-0.006
2002-05-06,0.007,-0.005
2002-05-07,0.007,-0.003
2002-05-08,0.006,-0.009
2002-05-09,0.007,-0.007
2002-05-10,0.006,-0.008
2002-05-13,0.008,-0.011
2002-05-14,0.004,-0.015
2002-05-15,0.003,-0.014
2002-05-16,0.006,-0.012
2002-05-17,0.006,-0.013
2002-05-21,0.010,-0.008
2002-05-22,0.011,-0.007
2002-05-23,0.013,-0.007
2002-05-24,0.012,-0.005
2002-05-27,0.012,-0.005
2002-05-28,0.014,-0.004
2002-05-29,0.015,-0.001
2002-05-30,0.015,0.001
2002-05-31,0.014,-0.000
2002-06-03,0.011,-0.004
2002-06-04,0.010,-0.005
2002-06-05,0.009,-0.006
2002-06-06,0.008,-0.006
2002-06-07,0.009,-0.006
2002-06-10,0.005,-0.005
2002-06-11,0.006,-0.004
2002-06-12,0.003,-0.003
2002-06-13,0.003,0.001
2002-06-14,0.008,0.005
2002-06-17,0.008,0.004
2002-06-18,0.009,0.004
2002-06-19,0.006,0.007
2002-06-20,0.007,0.004
2002-06-21,0.005,0.006
2002-06-24,0.005,0.005
2002-06-25,0.003,0.005
2002-06-26,0.000,0.005
2002-06-27,-0.002,0.003
2002-06-28,-0.002,0.002
2002-07-02,-0.010,0.001
2002-07-03,-0.011,0.000
2002-07-04,-0.010,0.001
2002-07-05,-0.011,-0.005
2002-07-08,-0.010,-0.004
2002-07-09,-0.008,-0.001
2002-07-10,-0.012,0.002
2002-07-11,-0.011,0.003
2002-07-12,-0.010,0.006
2002-07-15,-0.012,0.005
2002-07-16,-0.014,0.003
2002-07-17,-0.011,0.005
2002-07-18,-0.011,0.007
2002-07-19,-0.015,0.011
2002-07-22,-0.017,0.015
2002-07-23,-0.023,0.015
2002-07-24,-0.020,0.011
2002-07-25,-0.022,0.016
2002-07-26,-0.025,0.015
2002-07-29,-0.022,0.007
2002-07-30,-0.020,0.007
2002-07-31,-0.013,0.011
2002-08-01,-0.018,0.012
2002-08-02,-0.013,0.015
2002-08-06,-0.017,0.014
2002-08-07,-0.014,0.016
2002-08-08,-0.013,0.015
2002-08-09,-0.010,0.017
2002-08-12,-0.011,0.019
2002-08-13,-0.010,0.022
2002-08-14,-0.012,0.018
2002-08-15,-0.012,0.015
2002-08-16,-0.013,0.013
2002-08-19,-0.012,0.015
2002-08-20,-0.007,0.020
2002-08-21,-0.010,0.019
2002-08-22,-0.011,0.014
2002-08-23,-0.012,0.017
2002-08-26,-0.007,0.019
2002-08-27,-0.009,0.015
2002-08-28,-0.010,0.017
2002-08-29,-0.007,0.019
2002-08-30,-0.006,0.020
2002-09-03,-0.009,0.025
2002-09-04,-0.008,0.026
2002-09-05,-0.005,0.029
2002-09-06,-0.008,0.023
2002-09-09,-0.007,0.024
2002-09-10,-0.006,0.025
2002-09-11,-0.007,0.023
2002-09-12,-0.005,0.026
2002-09-13,-0.005,0.028
2002-09-16,-0.006,0.028
2002-09-17,-0.009,0.029
2002-09-18,-0.009,0.028
2002-09-19,-0.013,0.031
2002-09-20,-0.016,0.029
2002-09-23,-0.014,0.032
2002-09-24,-0.016,0.031
2002-09-25,-0.018,0.026
2002-09-26,-0.019,0.025
2002-09-27,-0.017,0.028
2002-09-30,-0.018,0.029
2002-10-01,-0.019,0.019
